Dataset,original_vertices,original_edges,vertices_removed,edges_removed,oct,bipartite,final_vertices,final_edges
aa11-to-2,103,182,21,0,0,20,82,164
aa11-to-3,103,181,24,0,0,17,79,158
aa11-to-4,103,197,21,0,1,12,82,173
aa11-to-5,103,191,21,0,1,13,82,163
aa11-to-6,103,202,21,0,1,12,81,175
aa11-to-7,103,210,4,0,0,17,99,207
aa11-to-8,103,165,22,0,0,21,81,146
aa11-to-9,103,205,15,0,0,17,88,194
aa13-ba-0,131,384,0,0,0,0,131,384
aa13-ba-1,131,384,0,0,0,1,131,384
aa13-ba-10,131,384,1,0,3,20,127,320
aa13-ba-11,131,384,0,0,0,0,131,384
aa13-ba-12,131,384,0,0,0,0,131,384
aa13-ba-13,131,384,0,0,0,0,131,384
aa13-ba-14,131,384,1,0,2,7,128,348
aa13-ba-2,131,384,0,0,0,0,131,384
aa13-ba-3,131,384,26,0,6,17,99,229
aa13-ba-4,131,384,1,0,2,15,128,328
aa13-ba-5,131,384,0,0,0,0,131,384
aa13-ba-6,131,384,1,0,0,0,130,383
aa13-ba-7,131,384,0,0,0,0,131,384
aa13-ba-8,131,384,0,0,0,0,131,384
aa13-ba-9,131,384,0,0,0,0,131,384
aa13-cl-0,131,348,68,0,7,9,56,157
aa13-cl-1,131,359,60,0,7,10,65,203
aa13-cl-10,131,394,56,0,4,12,71,275
aa13-cl-11,131,384,59,0,8,14,64,179
aa13-cl-12,131,391,56,0,6,14,69,226
aa13-cl-13,131,387,55,0,4,11,72,279
aa13-cl-14,131,351,66,0,7,10,58,182
aa13-cl-2,131,375,50,0,3,20,78,301
aa13-cl-3,131,383,58,0,5,13,68,232
aa13-cl-4,131,367,54,0,4,17,74,282
aa13-cl-5,131,384,56,0,5,16,70,253
aa13-cl-6,131,385,58,0,4,10,69,264
aa13-cl-7,131,378,50,0,6,19,75,225
aa13-cl-8,131,393,66,0,7,15,58,195
aa13-cl-9,131,382,61,0,7,12,63,240
aa13-er-0,131,418,2,0,0,2,129,418
aa13-er-1,131,420,0,0,0,4,131,420
aa13-er-10,131,358,4,0,1,6,126,350
aa13-er-11,131,369,4,0,0,8,127,365
aa13-er-12,131,353,4,0,0,7,127,349
aa13-er-13,131,383,1,0,0,10,130,382
aa13-er-14,131,373,2,0,1,9,128,365
aa13-er-2,131,383,3,0,0,6,128,381
aa13-er-3,131,361,5,0,1,8,125,348
aa13-er-4,131,362,1,0,0,6,130,361
aa13-er-5,131,384,3,0,0,6,128,381
aa13-er-6,131,427,1,0,0,5,130,426
aa13-er-7,131,396,1,0,0,11,130,395
aa13-er-8,131,397,0,0,0,3,131,397
aa13-er-9,131,421,1,0,0,4,130,420
aa13-to-0,131,247,25,0,1,21,105,216
aa13-to-1,131,240,28,0,1,21,103,209
aa13-to-10,131,213,29,0,0,19,102,194
aa13-to-11,131,224,25,0,0,23,107,204
aa13-to-12,131,212,29,0,1,25,101,184
aa13-to-13,131,226,31,0,1,19,99,196
aa13-to-14,131,204,50,0,1,18,80,149
aa13-to-2,131,218,31,0,1,20,99,189
aa13-to-3,131,198,39,0,0,21,93,170
aa13-to-4,131,208,41,0,2,24,91,156
aa13-to-5,131,228,23,0,1,22,107,200
aa13-to-6,131,263,17,0,0,18,114,248
aa13-to-7,131,257,27,0,0,18,104,233
aa13-to-8,131,235,21,0,0,24,110,215
aa13-to-9,131,244,19,0,0,23,112,229
aa14-ba-0,127,610,1,0,0,0,126,609
aa14-ba-1,127,610,0,0,0,0,127,610
aa14-ba-10,127,610,0,0,0,0,127,610
aa14-ba-11,127,610,0,0,0,0,127,610
aa14-ba-12,127,610,0,0,0,0,127,610
aa14-ba-13,127,610,0,0,0,0,127,610
aa14-ba-14,127,610,0,0,0,0,127,610
aa14-ba-2,127,610,0,0,0,1,127,610
aa14-ba-3,127,610,1,0,1,0,125,574
aa14-ba-4,127,610,0,0,0,0,127,610
aa14-ba-5,127,610,1,0,0,0,126,609
aa14-ba-6,127,610,0,0,0,0,127,610
aa14-ba-7,127,610,0,0,0,0,127,610
aa14-ba-8,127,610,0,0,0,0,127,610
aa14-ba-9,127,610,0,0,0,0,127,610
aa14-cl-0,127,491,57,0,10,16,60,256
aa14-cl-1,127,521,49,0,6,14,72,378
aa14-cl-10,127,515,53,0,6,13,68,356
aa14-cl-11,127,541,64,0,10,11,53,240
aa14-cl-12,127,522,61,0,10,9,56,286
aa14-cl-13,127,512,52,0,7,15,68,308
aa14-cl-14,127,535,49,0,4,17,74,407
aa14-cl-2,127,536,59,0,9,7,59,322
aa14-cl-3,127,520,52,0,6,11,69,349
aa14-cl-4,127,510,62,0,7,8,58,294
aa14-cl-5,127,475,65,0,12,8,50,203
aa14-cl-6,127,498,50,0,6,13,71,366
aa14-cl-7,127,470,65,0,9,8,53,276
aa14-cl-8,127,538,55,0,10,7,62,303
aa14-cl-9,127,483,51,0,6,16,70,356
aa14-er-0,127,547,0,0,0,1,127,547
aa14-er-1,127,553,1,0,1,0,125,539
aa14-er-10,127,525,0,0,0,3,127,525
aa14-er-11,127,530,0,0,0,3,127,530
aa14-er-12,127,499,1,0,1,2,125,491
aa14-er-13,127,529,0,0,0,2,127,529
aa14-er-14,127,502,0,0,0,1,127,502
aa14-er-2,127,535,0,0,0,0,127,535
aa14-er-3,127,517,0,0,0,0,127,517
aa14-er-4,127,516,0,0,0,0,127,516
aa14-er-5,127,516,2,0,1,0,124,507
aa14-er-6,127,552,0,0,0,0,127,552
aa14-er-7,127,524,0,0,0,1,127,524
aa14-er-8,127,528,0,0,0,0,127,528
aa14-er-9,127,582,1,0,0,0,126,581
aa14-to-0,127,353,7,0,1,6,119,344
aa14-to-1,127,353,6,0,1,8,120,338
aa14-to-10,127,332,8,0,0,14,119,325
aa14-to-11,127,322,3,0,1,14,123,314
aa14-to-12,127,301,7,0,0,10,120,295
aa14-to-13,127,334,3,0,0,7,124,331
aa14-to-14,127,333,7,0,0,13,120,326
aa14-to-2,127,328,12,0,0,6,115,317
aa14-to-3,127,312,12,0,1,9,114,295
aa14-to-4,127,339,4,0,0,10,123,335
aa14-to-5,127,333,8,0,0,11,119,327
aa14-to-6,127,343,3,0,0,12,124,341
aa14-to-7,127,349,7,0,0,8,120,343
aa14-to-8,127,316,9,0,0,8,118,308
aa14-to-9,127,358,6,0,0,8,121,353
aa15-ba-0,67,192,0,0,0,1,67,192
aa15-ba-1,67,192,0,0,0,1,67,192
aa15-ba-10,67,192,19,0,6,9,43,79
aa15-ba-11,67,192,8,0,4,13,55,113
aa15-ba-12,67,192,2,0,3,9,62,140
aa15-ba-13,67,192,0,0,0,0,67,192
aa15-ba-14,67,192,13,0,6,16,48,82
aa15-ba-2,67,192,2,0,2,10,63,153
aa15-ba-3,67,192,16,0,6,11,45,93
aa15-ba-4,67,192,0,0,0,0,67,192
aa15-ba-5,67,192,0,0,1,5,66,174
aa15-ba-6,67,192,5,0,4,11,58,126
aa15-ba-7,67,192,0,0,0,0,67,192
aa15-ba-8,67,192,6,0,3,10,58,123
aa15-ba-9,67,192,0,0,0,0,67,192
aa15-cl-0,67,170,28,0,3,8,36,103
aa15-cl-1,67,157,29,0,1,5,37,126
aa15-cl-10,67,173,23,0,1,7,43,150
aa15-cl-11,67,183,29,0,6,6,32,87
aa15-cl-12,67,182,23,0,0,6,44,170
aa15-cl-13,67,172,26,0,4,3,37,94
aa15-cl-14,67,180,22,0,1,6,44,143
aa15-cl-2,67,171,21,0,1,6,45,146
aa15-cl-3,67,168,23,0,3,8,41,108
aa15-cl-4,67,205,15,0,4,10,48,129
aa15-cl-5,67,149,26,0,2,6,39,112
aa15-cl-6,67,181,32,0,4,5,31,97
aa15-cl-7,67,169,28,0,2,7,37,117
aa15-cl-8,67,185,21,0,1,5,45,154
aa15-cl-9,67,173,27,0,3,9,37,109
aa15-er-0,67,205,0,0,0,2,67,205
aa15-er-1,67,182,1,0,0,4,66,181
aa15-er-10,67,190,2,0,0,4,65,188
aa15-er-11,67,175,0,0,0,5,67,175
aa15-er-12,67,156,5,0,0,8,62,151
aa15-er-13,67,162,3,0,0,3,64,159
aa15-er-14,67,184,4,0,1,7,62,174
aa15-er-2,67,168,3,0,0,6,64,164
aa15-er-3,67,167,1,0,0,6,66,166
aa15-er-4,67,173,5,0,1,4,61,164
aa15-er-5,67,183,2,0,0,4,65,181
aa15-er-6,67,181,0,0,0,5,67,181
aa15-er-7,67,192,1,0,0,1,66,191
aa15-er-8,67,162,5,0,0,3,62,157
aa15-er-9,67,194,3,0,0,1,64,192
aa15-to-0,67,114,16,0,1,9,50,93
aa15-to-1,67,114,16,0,1,15,51,96
aa15-to-10,67,113,12,0,0,12,55,107
aa15-to-11,67,105,13,0,0,14,54,93
aa15-to-12,67,97,20,0,0,15,48,82
aa15-to-13,67,95,28,0,0,4,39,73
aa15-to-14,67,108,17,0,0,11,50,96
aa15-to-2,67,98,30,0,0,4,38,74
aa15-to-3,67,100,37,0,2,9,30,50
aa15-to-4,67,97,31,0,1,6,35,66
aa15-to-5,67,100,19,0,0,13,48,84
aa15-to-6,67,113,12,0,1,16,54,96
aa15-to-7,67,122,13,0,0,11,54,108
aa15-to-8,67,100,20,0,0,5,47,85
aa15-to-9,67,120,12,0,0,12,55,113
aa16-ba-0,14,24,11,0,3,0,0,0
aa16-ba-1,14,24,11,0,3,0,0,0
aa16-ba-10,14,24,6,0,1,2,7,11
aa16-ba-11,14,24,4,0,0,3,10,18
aa16-ba-12,14,24,12,0,2,0,0,0
aa16-ba-13,14,24,13,0,1,0,0,0
aa16-ba-14,14,24,13,0,1,0,0,0
aa16-ba-2,14,24,12,0,2,0,0,0
aa16-ba-3,14,24,11,0,3,0,0,0
aa16-ba-4,14,24,11,0,3,0,0,0
aa16-ba-5,14,24,10,0,4,0,0,0
aa16-ba-6,14,24,12,0,2,0,0,0
aa16-ba-7,14,24,11,0,3,0,0,0
aa16-ba-8,14,24,10,0,4,0,0,0
aa16-ba-9,14,24,11,0,3,0,0,0
aa16-cl-0,14,17,13,0,1,0,0,0
aa16-cl-1,14,5,14,0,0,0,0,0
aa16-cl-10,14,13,12,0,2,0,0,0
aa16-cl-11,14,9,13,0,1,0,0,0
aa16-cl-12,14,16,13,0,1,0,0,0
aa16-cl-13,14,11,14,0,0,0,0,0
aa16-cl-14,14,15,12,0,2,0,0,0
aa16-cl-2,14,9,13,0,1,0,0,0
aa16-cl-3,14,12,12,0,2,0,0,0
aa16-cl-4,14,13,14,0,0,0,0,0
aa16-cl-5,14,14,13,0,2,0,0,0
aa16-cl-6,14,18,12,0,2,0,0,0
aa16-cl-7,14,12,12,0,2,0,0,0
aa16-cl-8,14,7,14,0,0,0,0,0
aa16-cl-9,14,10,13,0,1,0,0,0
aa16-er-0,14,6,14,0,0,0,0,0
aa16-er-1,14,12,13,0,1,0,0,0
aa16-er-10,14,16,13,0,2,0,0,0
aa16-er-11,14,17,13,0,1,0,0,0
aa16-er-12,14,20,12,0,2,0,0,0
aa16-er-13,14,13,14,0,0,0,0,0
aa16-er-14,14,17,12,0,2,0,0,0
aa16-er-2,14,10,13,0,1,0,0,0
aa16-er-3,14,15,13,0,1,0,0,0
aa16-er-4,14,13,14,0,1,0,0,0
aa16-er-5,14,18,13,0,1,0,0,0
aa16-er-6,14,12,14,0,0,0,0,0
aa16-er-7,14,21,12,0,2,0,0,0
aa16-er-8,14,15,13,0,1,0,0,0
aa16-er-9,14,23,12,0,2,0,0,0
aa16-to-0,14,2,14,0,0,0,0,0
aa16-to-1,14,9,14,0,0,0,0,0
aa16-to-10,14,9,14,0,0,0,0,0
aa16-to-11,14,6,14,0,0,0,0,0
aa16-to-12,14,7,14,0,0,0,0,0
aa16-to-13,14,6,14,0,0,0,0,0
aa16-to-14,14,10,14,0,0,0,0,0
aa16-to-2,14,4,14,0,0,0,0,0
aa16-to-3,14,10,14,0,0,0,0,0
aa16-to-4,14,5,14,0,0,0,0,0
aa16-to-5,14,11,14,0,0,0,0,0
aa16-to-6,14,8,14,0,0,0,0,0
aa16-to-7,14,11,14,0,0,0,0,0
aa16-to-8,14,7,14,0,0,0,0,0
aa16-to-9,14,13,14,0,0,0,0,0
aa17-ba-0,153,740,1,0,0,0,152,739
aa17-ba-1,153,740,0,0,0,0,153,740
aa17-ba-10,153,740,0,0,0,0,153,740
aa17-ba-11,153,740,0,0,0,0,153,740
aa17-ba-12,153,740,0,0,0,0,153,740
aa17-ba-13,153,740,0,0,0,0,153,740
aa17-ba-14,153,740,0,0,0,0,153,740
aa17-ba-2,153,740,0,0,0,0,153,740
aa17-ba-3,153,740,0,0,0,0,153,740
aa17-ba-4,153,740,0,0,0,0,153,740
aa17-ba-5,153,740,1,0,0,0,152,739
aa17-ba-6,153,740,0,0,0,0,153,740
aa17-ba-7,153,740,0,0,0,0,153,740
aa17-ba-8,153,740,0,0,0,0,153,740
aa17-ba-9,153,740,0,0,0,0,153,740
aa17-cl-0,153,621,50,0,3,20,100,498
aa17-cl-1,153,655,57,0,8,19,88,401
aa17-cl-10,153,613,63,0,6,13,84,425
aa17-cl-11,153,623,58,0,5,16,90,459
aa17-cl-12,153,644,58,0,3,18,92,499
aa17-cl-13,153,610,66,0,10,16,77,335
aa17-cl-14,153,588,71,0,10,15,72,315
aa17-cl-2,153,641,52,0,6,23,95,449
aa17-cl-3,153,623,68,0,9,16,76,347
aa17-cl-4,153,666,42,0,7,21,104,446
aa17-cl-5,153,577,62,0,9,15,82,351
aa17-cl-6,153,601,74,0,12,11,67,288
aa17-cl-7,153,617,60,0,6,17,87,420
aa17-cl-8,153,619,70,0,10,17,73,301
aa17-cl-9,153,588,75,0,11,13,67,265
aa17-er-0,153,672,0,0,0,0,153,672
aa17-er-1,153,676,0,0,0,3,153,676
aa17-er-10,153,663,0,0,0,2,153,663
aa17-er-11,153,642,0,0,0,1,153,642
aa17-er-12,153,604,0,0,0,5,153,604
aa17-er-13,153,627,0,0,0,0,153,627
aa17-er-14,153,599,0,0,0,1,153,599
aa17-er-2,153,641,1,0,0,0,152,640
aa17-er-3,153,633,1,0,0,1,152,632
aa17-er-4,153,614,1,0,0,2,152,613
aa17-er-5,153,626,0,0,0,1,153,626
aa17-er-6,153,673,0,0,0,1,153,673
aa17-er-7,153,631,0,0,0,0,153,631
aa17-er-8,153,638,0,0,0,2,153,638
aa17-er-9,153,683,0,0,0,0,153,683
aa17-to-0,153,425,9,0,0,11,144,416
aa17-to-1,153,442,9,0,1,8,143,431
aa17-to-10,153,414,8,0,1,7,144,397
aa17-to-11,153,402,6,0,0,9,147,397
aa17-to-12,153,394,7,0,0,15,146,388
aa17-to-13,153,425,2,0,0,10,151,423
aa17-to-14,153,398,1,0,0,14,152,397
aa17-to-2,153,406,8,0,0,12,145,399
aa17-to-3,153,417,6,0,0,11,147,413
aa17-to-4,153,393,9,0,0,16,144,386
aa17-to-5,153,418,5,0,0,11,148,413
aa17-to-6,153,427,10,0,0,12,143,418
aa17-to-7,153,416,5,0,0,11,148,412
aa17-to-8,153,406,6,0,0,17,147,400
aa17-to-9,153,425,4,0,0,12,149,422
aa18-ba-0,90,425,1,0,0,0,89,424
aa18-ba-1,90,425,0,0,0,0,90,425
aa18-ba-10,90,425,0,0,0,0,90,425
aa18-ba-11,90,425,0,0,0,0,90,425
aa18-ba-12,90,425,0,0,1,0,89,384
aa18-ba-13,90,425,0,0,0,0,90,425
aa18-ba-14,90,425,0,0,0,0,90,425
aa18-ba-2,90,425,0,0,0,1,90,425
aa18-ba-3,90,425,1,0,1,0,88,393
aa18-ba-4,90,425,0,0,0,0,90,425
aa18-ba-5,90,425,1,0,1,0,88,384
aa18-ba-6,90,425,0,0,0,0,90,425
aa18-ba-7,90,425,0,0,0,0,90,425
aa18-ba-8,90,425,0,0,0,0,90,425
aa18-ba-9,90,425,0,0,1,0,89,377
aa18-cl-0,90,342,36,0,5,10,49,219
aa18-cl-1,90,361,35,0,4,6,51,240
aa18-cl-10,90,393,25,0,3,7,62,300
aa18-cl-11,90,366,37,0,8,5,45,171
aa18-cl-12,90,393,23,0,3,5,64,290
aa18-cl-13,90,364,34,0,4,5,52,238
aa18-cl-14,90,370,41,0,11,7,38,107
aa18-cl-2,90,390,24,0,3,9,63,289
aa18-cl-3,90,353,40,0,9,4,41,136
aa18-cl-4,90,371,35,0,5,8,50,220
aa18-cl-5,90,365,32,0,6,5,52,224
aa18-cl-6,90,357,28,0,5,9,57,240
aa18-cl-7,90,364,32,0,4,5,54,256
aa18-cl-8,90,369,30,0,4,6,56,259
aa18-cl-9,90,337,32,0,5,7,53,208
aa18-er-0,90,393,1,0,0,0,89,392
aa18-er-1,90,398,0,0,0,0,90,398
aa18-er-10,90,367,0,0,0,0,90,367
aa18-er-11,90,393,0,0,0,0,90,393
aa18-er-12,90,365,2,0,0,2,88,363
aa18-er-13,90,365,0,0,0,0,90,365
aa18-er-14,90,371,0,0,0,1,90,371
aa18-er-2,90,368,0,0,0,0,90,368
aa18-er-3,90,371,0,0,0,1,90,371
aa18-er-4,90,387,0,0,0,1,90,387
aa18-er-5,90,364,1,0,0,0,89,364
aa18-er-6,90,405,0,0,0,0,90,405
aa18-er-7,90,389,0,0,0,1,90,389
aa18-er-8,90,359,0,0,0,0,90,359
aa18-er-9,90,418,0,0,0,0,90,418
aa18-to-0,90,259,3,0,0,2,87,259
aa18-to-1,90,262,2,0,1,4,87,255
aa18-to-10,90,241,5,0,1,7,84,225
aa18-to-11,90,261,1,0,0,5,89,261
aa18-to-12,90,226,6,0,1,8,83,210
aa18-to-13,90,234,5,0,0,11,85,230
aa18-to-14,90,234,5,0,0,6,85,231
aa18-to-2,90,230,4,0,0,9,86,227
aa18-to-3,90,249,8,0,0,2,82,240
aa18-to-4,90,261,2,0,0,6,88,259
aa18-to-5,90,246,8,0,1,6,81,231
aa18-to-6,90,270,2,0,0,7,88,268
aa18-to-7,90,254,4,0,0,6,86,250
aa18-to-8,90,231,5,0,0,8,85,227
aa18-to-9,90,275,3,0,0,6,87,272
aa19-ba-0,192,752,1,0,0,0,191,751
aa19-ba-1,192,752,0,0,0,0,192,752
aa19-ba-10,192,752,0,0,0,0,192,752
aa19-ba-11,192,752,0,0,0,0,192,752
aa19-ba-12,192,752,0,0,0,0,192,752
aa19-ba-13,192,752,0,0,0,0,192,752
aa19-ba-14,192,752,0,0,1,0,191,697
aa19-ba-2,192,752,0,0,0,0,192,752
aa19-ba-3,192,752,0,0,0,0,192,752
aa19-ba-4,192,752,0,0,0,0,192,752
aa19-ba-5,192,752,1,0,0,0,191,751
aa19-ba-6,192,752,0,0,0,0,192,752
aa19-ba-7,192,752,0,0,0,0,192,752
aa19-ba-8,192,752,0,0,0,0,192,752
aa19-ba-9,192,752,0,0,0,0,192,752
aa19-cl-0,192,626,100,0,13,18,79,275
aa19-cl-1,192,667,77,0,7,31,108,432
aa19-cl-10,192,655,95,0,13,20,84,293
aa19-cl-11,192,655,78,0,5,20,109,482
aa19-cl-12,192,636,90,0,9,15,93,354
aa19-cl-13,192,657,81,0,8,26,103,403
aa19-cl-14,192,602,78,0,5,23,109,439
aa19-cl-2,192,647,99,0,12,16,81,301
aa19-cl-3,192,649,81,0,9,24,102,399
aa19-cl-4,192,658,65,0,5,25,122,494
aa19-cl-5,192,589,99,0,9,19,85,310
aa19-cl-6,192,599,88,0,6,20,98,388
aa19-cl-7,192,635,104,0,16,18,73,236
aa19-cl-8,192,647,93,0,10,20,89,347
aa19-cl-9,192,620,94,0,11,21,87,314
aa19-er-0,192,701,2,0,1,2,189,695
aa19-er-1,192,683,1,0,0,3,191,682
aa19-er-10,192,624,1,0,0,9,191,623
aa19-er-11,192,649,2,0,0,3,190,647
aa19-er-12,192,643,2,0,0,5,190,641
aa19-er-13,192,635,1,0,0,4,191,634
aa19-er-14,192,629,0,0,0,5,192,629
aa19-er-2,192,668,2,0,0,3,190,666
aa19-er-3,192,652,2,0,0,6,190,650
aa19-er-4,192,648,2,0,0,7,190,647
aa19-er-5,192,645,2,0,1,5,189,635
aa19-er-6,192,675,4,0,0,2,188,672
aa19-er-7,192,646,2,0,1,5,189,629
aa19-er-8,192,671,0,0,0,4,192,671
aa19-er-9,192,661,1,0,0,4,191,660
aa19-to-0,192,392,20,0,0,24,172,377
aa19-to-1,192,415,16,0,0,27,176,400
aa19-to-10,192,370,26,0,1,30,166,345
aa19-to-11,192,384,25,0,0,26,167,362
aa19-to-12,192,374,35,0,1,26,156,339
aa19-to-13,192,367,30,0,0,36,162,342
aa19-to-14,192,380,29,0,0,31,163,357
aa19-to-2,192,389,23,0,0,24,169,369
aa19-to-3,192,376,23,0,0,24,169,360
aa19-to-4,192,381,25,0,1,25,166,353
aa19-to-5,192,377,22,0,0,29,170,357
aa19-to-6,192,411,25,0,0,30,167,390
aa19-to-7,192,397,24,0,0,17,168,379
aa19-to-8,192,392,24,0,0,16,168,371
aa19-to-9,192,400,25,0,0,22,168,380
aa20-ba-0,225,884,1,0,0,0,224,883
aa20-ba-1,225,884,0,0,0,0,225,884
aa20-ba-10,225,884,0,0,0,0,225,884
aa20-ba-11,225,884,0,0,0,0,225,884
aa20-ba-12,225,884,0,0,0,0,225,884
aa20-ba-13,225,884,0,0,0,0,225,884
aa20-ba-14,225,884,0,0,0,0,225,884
aa20-ba-2,225,884,0,0,0,0,225,884
aa20-ba-3,225,884,0,0,0,0,225,884
aa20-ba-4,225,884,0,0,0,0,225,884
aa20-ba-5,225,884,1,0,1,0,223,831
aa20-ba-6,225,884,0,0,0,0,225,884
aa20-ba-7,225,884,0,0,0,0,225,884
aa20-ba-8,225,884,0,0,0,0,225,884
aa20-ba-9,225,884,0,0,0,0,225,884
aa20-cl-0,225,740,126,0,17,19,83,288
aa20-cl-1,225,776,90,0,9,33,126,473
aa20-cl-10,225,770,113,0,10,18,102,417
aa20-cl-11,225,775,117,0,14,29,94,339
aa20-cl-12,225,721,84,0,6,37,135,530
aa20-cl-13,225,784,113,0,12,23,100,398
aa20-cl-14,225,781,121,0,17,20,88,304
aa20-cl-2,225,757,108,0,9,33,108,415
aa20-cl-3,225,763,109,0,13,29,103,390
aa20-cl-4,225,778,113,0,14,29,98,363
aa20-cl-5,225,746,125,0,14,20,86,307
