dataset,vertices,edges
aa17-ba-6.edgelist,153,740
aa17-ba-7.edgelist,153,740
aa17-ba-8.edgelist,153,740
aa17-ba-9.edgelist,153,740
aa17-cl-5.edgelist,153,577
aa17-cl-6.edgelist,153,601
aa17-cl-7.edgelist,153,617
aa17-cl-8.edgelist,153,619
aa17-cl-9.edgelist,153,588
aa17-er-5.edgelist,153,626
aa17-er-6.edgelist,153,673
aa17-er-7.edgelist,153,631
aa17-er-8.edgelist,153,638
aa17-er-9.edgelist,153,683
aa17-to-5.edgelist,153,418
aa17-to-6.edgelist,153,427
aa17-to-7.edgelist,153,416
aa17-to-8.edgelist,153,406
aa17-to-9.edgelist,153,425
aa18-ba-5.edgelist,90,425
aa18-ba-6.edgelist,90,425
aa18-ba-7.edgelist,90,425
aa18-ba-8.edgelist,90,425
aa18-ba-9.edgelist,90,425
aa18-cl-5.edgelist,90,365
aa18-cl-6.edgelist,90,357
aa18-cl-7.edgelist,90,364
aa18-cl-8.edgelist,90,369
aa18-cl-9.edgelist,90,337
aa18-er-5.edgelist,90,364
aa18-er-6.edgelist,90,405
aa18-er-7.edgelist,90,389
aa18-er-8.edgelist,90,359
aa18-er-9.edgelist,90,418
aa18-to-5.edgelist,90,246
aa18-to-6.edgelist,90,270
aa18-to-7.edgelist,90,254
aa18-to-8.edgelist,90,231
aa18-to-9.edgelist,90,275
aa19-ba-5.edgelist,192,752
aa19-ba-6.edgelist,192,752
aa19-ba-7.edgelist,192,752
aa19-ba-8.edgelist,192,752
aa19-ba-9.edgelist,192,752
aa19-cl-5.edgelist,192,589
aa19-cl-6.edgelist,192,599
aa19-cl-7.edgelist,192,635
aa19-cl-8.edgelist,192,647
aa19-cl-9.edgelist,192,620
aa19-er-5.edgelist,192,645
aa19-er-6.edgelist,192,675
aa19-er-7.edgelist,192,646
aa19-er-8.edgelist,192,671
aa19-er-9.edgelist,192,661
aa19-to-5.edgelist,192,377
aa19-to-6.edgelist,192,411
aa19-to-7.edgelist,192,397
aa19-to-8.edgelist,192,392
aa19-to-9.edgelist,192,400
aa20-ba-5.edgelist,225,884
aa20-ba-6.edgelist,225,884
aa20-ba-7.edgelist,225,884
aa20-ba-8.edgelist,225,884
aa20-ba-9.edgelist,225,884
aa20-cl-5.edgelist,225,746
aa20-cl-6.edgelist,225,722
aa20-cl-7.edgelist,225,748
aa20-cl-8.edgelist,225,733
aa20-cl-9.edgelist,225,757
aa20-er-5.edgelist,225,741
aa20-er-6.edgelist,225,792
aa20-er-7.edgelist,225,775
aa20-er-8.edgelist,225,776
aa20-er-9.edgelist,225,759
aa20-to-5.edgelist,225,439
aa20-to-6.edgelist,225,461
aa20-to-7.edgelist,225,451
aa20-to-8.edgelist,225,445
aa20-to-9.edgelist,225,444
aa21-ba-5.edgelist,31,84
aa21-ba-6.edgelist,31,84
aa21-ba-7.edgelist,31,84
aa21-ba-8.edgelist,31,84
aa21-ba-9.edgelist,31,84
aa21-cl-5.edgelist,31,75
aa21-cl-6.edgelist,31,95
aa21-cl-7.edgelist,31,81
aa21-cl-8.edgelist,31,81
aa21-cl-9.edgelist,31,80
aa21-er-5.edgelist,31,94
aa21-er-6.edgelist,31,106
aa21-er-7.edgelist,31,103
aa21-er-8.edgelist,31,77
aa21-er-9.edgelist,31,108
aa21-to-5.edgelist,31,73
aa21-to-6.edgelist,31,76
aa21-to-7.edgelist,31,79
aa21-to-8.edgelist,31,58
aa21-to-9.edgelist,31,89
aa22-ba-5.edgelist,167,652
aa22-ba-6.edgelist,167,652
aa22-ba-7.edgelist,167,652
aa22-ba-8.edgelist,167,652
aa22-ba-9.edgelist,167,652
aa22-cl-5.edgelist,167,607
aa22-cl-6.edgelist,167,590
aa22-cl-7.edgelist,167,609
aa22-cl-8.edgelist,167,654
aa22-cl-9.edgelist,167,582
aa22-er-5.edgelist,167,650
aa22-er-6.edgelist,167,667
aa22-er-7.edgelist,167,644
aa22-er-8.edgelist,167,648
aa22-er-9.edgelist,167,682
aa22-to-5.edgelist,167,402
aa22-to-6.edgelist,167,416
aa22-to-7.edgelist,167,370
aa22-to-8.edgelist,167,376
aa22-to-9.edgelist,167,414
aa23-ba-5.edgelist,143,556
aa23-ba-6.edgelist,143,556
aa23-ba-7.edgelist,143,556
aa23-ba-8.edgelist,143,556
aa23-ba-9.edgelist,143,556
aa23-cl-5.edgelist,143,461
aa23-cl-6.edgelist,143,496
aa23-cl-7.edgelist,143,492
aa23-cl-8.edgelist,143,530
aa23-cl-9.edgelist,143,483
aa23-er-5.edgelist,143,497
aa23-er-6.edgelist,143,543
aa23-er-7.edgelist,143,511
aa23-er-8.edgelist,143,502
aa23-er-9.edgelist,143,530
aa23-to-5.edgelist,143,296
aa23-to-6.edgelist,143,340
aa23-to-7.edgelist,143,335
aa23-to-8.edgelist,143,310
aa23-to-9.edgelist,143,343
aa24-ba-5.edgelist,261,1280
aa24-ba-6.edgelist,261,1280
aa24-ba-7.edgelist,261,1280
aa24-ba-8.edgelist,261,1280
aa24-ba-9.edgelist,261,1280
aa24-cl-5.edgelist,261,1144
aa24-cl-6.edgelist,261,1108
aa24-cl-7.edgelist,261,1050
aa24-cl-8.edgelist,261,1067
aa24-cl-9.edgelist,261,1090
aa24-er-5.edgelist,261,1080
aa24-er-6.edgelist,261,1123
aa24-er-7.edgelist,261,1104
aa24-er-8.edgelist,261,1103
aa24-er-9.edgelist,261,1119
aa24-to-5.edgelist,261,630
aa24-to-6.edgelist,261,646
aa24-to-7.edgelist,261,633
aa24-to-8.edgelist,261,671
aa24-to-9.edgelist,261,652
aa25-ba-5.edgelist,15,14
aa25-ba-6.edgelist,15,14
aa25-ba-7.edgelist,15,14
aa25-ba-8.edgelist,15,14
aa25-ba-9.edgelist,15,14
aa25-cl-5.edgelist,15,14
aa25-cl-6.edgelist,15,12
aa25-cl-7.edgelist,15,13
aa25-cl-8.edgelist,15,15
aa25-cl-9.edgelist,15,4
aa25-er-5.edgelist,15,18
aa25-er-6.edgelist,15,14
aa25-er-7.edgelist,15,18
aa25-er-8.edgelist,15,19
aa25-er-9.edgelist,15,24
aa25-to-5.edgelist,15,14
aa25-to-6.edgelist,15,5
aa25-to-7.edgelist,15,8
aa25-to-8.edgelist,15,13
aa25-to-9.edgelist,15,15
aa26-ba-5.edgelist,95,276
aa26-ba-6.edgelist,95,276
aa26-ba-7.edgelist,95,276
aa26-ba-8.edgelist,95,276
aa26-ba-9.edgelist,95,276
aa26-cl-5.edgelist,95,295
aa26-cl-6.edgelist,95,269
aa26-cl-7.edgelist,95,271
aa26-cl-8.edgelist,95,287
aa26-cl-9.edgelist,95,273
aa26-er-5.edgelist,95,268
aa26-er-6.edgelist,95,308
aa26-er-7.edgelist,95,310
aa26-er-8.edgelist,95,268
aa26-er-9.edgelist,95,320
aa26-to-5.edgelist,95,182
aa26-to-6.edgelist,95,194
aa26-to-7.edgelist,95,201
aa26-to-8.edgelist,95,160
aa26-to-9.edgelist,95,210
aa27-ba-5.edgelist,120,351
aa27-ba-6.edgelist,120,351
aa27-ba-7.edgelist,120,351
aa27-ba-8.edgelist,120,351
aa27-ba-9.edgelist,120,351
aa27-cl-5.edgelist,120,304
aa27-cl-6.edgelist,120,323
aa27-cl-7.edgelist,120,328
aa27-cl-8.edgelist,120,344
aa27-cl-9.edgelist,120,319
aa27-er-5.edgelist,120,335
aa27-er-6.edgelist,120,373
aa27-er-7.edgelist,120,340
aa27-er-8.edgelist,120,334
aa27-er-9.edgelist,120,362
aa27-to-5.edgelist,120,194
aa27-to-6.edgelist,120,222
aa27-to-7.edgelist,120,196
aa27-to-8.edgelist,120,186
aa27-to-9.edgelist,120,220
aa28-ba-5.edgelist,167,966
aa28-ba-6.edgelist,167,966
aa28-ba-7.edgelist,167,966
aa28-ba-8.edgelist,167,966
aa28-ba-9.edgelist,167,966
aa28-cl-5.edgelist,167,804
aa28-cl-6.edgelist,167,796
aa28-cl-7.edgelist,167,783
aa28-cl-8.edgelist,167,762
aa28-cl-9.edgelist,167,795
aa28-er-5.edgelist,167,853
aa28-er-6.edgelist,167,858
aa28-er-7.edgelist,167,856
aa28-er-8.edgelist,167,841
aa28-er-9.edgelist,167,926
aa28-to-5.edgelist,167,538
aa28-to-6.edgelist,167,570
aa28-to-7.edgelist,167,575
aa28-to-8.edgelist,167,512
aa28-to-9.edgelist,167,593
aa29-ba-5.edgelist,277,1092
aa29-ba-6.edgelist,277,1092
aa29-ba-7.edgelist,277,1092
aa29-ba-8.edgelist,277,1092
aa29-ba-9.edgelist,277,1092
aa29-cl-5.edgelist,277,1030
aa29-cl-6.edgelist,277,1002
aa29-cl-7.edgelist,277,1002
aa29-cl-8.edgelist,277,998
aa29-cl-9.edgelist,277,1043
aa29-er-5.edgelist,277,1013
aa29-er-6.edgelist,277,1082
aa29-er-7.edgelist,277,1061
aa29-er-8.edgelist,277,1030
aa29-er-9.edgelist,277,1049
aa29-to-5.edgelist,277,607
aa29-to-6.edgelist,277,629
aa29-to-7.edgelist,277,607
aa29-to-8.edgelist,277,563
aa29-to-9.edgelist,277,597
aa30-ba-5.edgelist,39,74
aa30-ba-6.edgelist,39,74
aa30-ba-7.edgelist,39,74
aa30-ba-8.edgelist,39,74
aa30-ba-9.edgelist,39,74
aa30-cl-5.edgelist,39,66
aa30-cl-6.edgelist,39,69
aa30-cl-7.edgelist,39,62
aa30-cl-8.edgelist,39,74
aa30-cl-9.edgelist,39,55
aa30-er-5.edgelist,39,80
aa30-er-6.edgelist,39,78
aa30-er-7.edgelist,39,80
aa30-er-8.edgelist,39,51
aa30-er-9.edgelist,39,88
aa30-to-5.edgelist,39,52
aa30-to-6.edgelist,39,45
aa30-to-7.edgelist,39,50
aa30-to-8.edgelist,39,34
aa30-to-9.edgelist,39,50
aa31-ba-5.edgelist,30,56
aa31-ba-6.edgelist,30,56
aa31-ba-7.edgelist,30,56
aa31-ba-8.edgelist,30,56
aa31-ba-9.edgelist,30,56
aa31-cl-5.edgelist,30,50
aa31-cl-6.edgelist,30,46
aa31-cl-7.edgelist,30,47
aa31-cl-8.edgelist,30,50
aa31-cl-9.edgelist,30,40
aa31-er-5.edgelist,30,48
aa31-er-6.edgelist,30,63
aa31-er-7.edgelist,30,59
aa31-er-8.edgelist,30,46
aa31-er-9.edgelist,30,65
aa31-to-5.edgelist,30,25
aa31-to-6.edgelist,30,33
aa31-to-7.edgelist,30,30
aa31-to-8.edgelist,30,24
aa31-to-9.edgelist,30,43
aa32-ba-5.edgelist,151,730
aa32-ba-6.edgelist,151,730
aa32-ba-7.edgelist,151,730
aa32-ba-8.edgelist,151,730
aa32-ba-9.edgelist,151,730
aa32-cl-5.edgelist,151,723
aa32-cl-6.edgelist,151,704
aa32-cl-7.edgelist,151,736
aa32-cl-8.edgelist,151,767
aa32-cl-9.edgelist,151,726
aa32-er-5.edgelist,151,718
aa32-er-6.edgelist,151,778
aa32-er-7.edgelist,151,748
aa32-er-8.edgelist,151,747
aa32-er-9.edgelist,151,816
aa32-to-5.edgelist,151,498
aa32-to-6.edgelist,151,539
aa32-to-7.edgelist,151,510
aa32-to-8.edgelist,151,514
aa32-to-9.edgelist,151,565
aa33-ba-5.edgelist,194,573
aa33-ba-6.edgelist,194,573
aa33-ba-7.edgelist,194,573
aa33-ba-8.edgelist,194,573
aa33-ba-9.edgelist,194,573
aa33-cl-5.edgelist,194,439
aa33-cl-6.edgelist,194,475
aa33-cl-7.edgelist,194,483
aa33-cl-8.edgelist,194,509
aa33-cl-9.edgelist,194,456
aa33-er-5.edgelist,194,482
aa33-er-6.edgelist,194,515
aa33-er-7.edgelist,194,495
aa33-er-8.edgelist,194,505
aa33-er-9.edgelist,194,490
aa33-to-5.edgelist,194,266
aa33-to-6.edgelist,194,281
aa33-to-7.edgelist,194,268
aa33-to-8.edgelist,194,249
aa33-to-9.edgelist,194,251
aa34-ba-5.edgelist,134,520
aa34-ba-6.edgelist,134,520
aa34-ba-7.edgelist,134,520
aa34-ba-8.edgelist,134,520
aa34-ba-9.edgelist,134,520
aa34-cl-5.edgelist,134,428
aa34-cl-6.edgelist,134,410
aa34-cl-7.edgelist,134,418
aa34-cl-8.edgelist,134,461
aa34-cl-9.edgelist,134,421
aa34-er-5.edgelist,134,448
aa34-er-6.edgelist,134,495
aa34-er-7.edgelist,134,459
aa34-er-8.edgelist,134,451
aa34-er-9.edgelist,134,489
aa34-to-5.edgelist,134,266
aa34-to-6.edgelist,134,305
aa34-to-7.edgelist,134,305
aa34-to-8.edgelist,134,264
aa34-to-9.edgelist,134,299
aa35-ba-5.edgelist,82,312
aa35-ba-6.edgelist,82,312
aa35-ba-7.edgelist,82,312
aa35-ba-8.edgelist,82,312
aa35-ba-9.edgelist,82,312
aa35-cl-5.edgelist,82,243
aa35-cl-6.edgelist,82,265
aa35-cl-7.edgelist,82,279
aa35-cl-8.edgelist,82,282
aa35-cl-9.edgelist,82,246
aa35-er-5.edgelist,82,261
aa35-er-6.edgelist,82,277
aa35-er-7.edgelist,82,284
aa35-er-8.edgelist,82,250
aa35-er-9.edgelist,82,298
aa35-to-5.edgelist,82,165
aa35-to-6.edgelist,82,166
aa35-to-7.edgelist,82,183
aa35-to-8.edgelist,82,144
aa35-to-9.edgelist,82,180
aa36-ba-5.edgelist,112,327
aa36-ba-6.edgelist,112,327
aa36-ba-7.edgelist,112,327
aa36-ba-8.edgelist,112,327
aa36-ba-9.edgelist,112,327
aa36-cl-5.edgelist,112,300
aa36-cl-6.edgelist,112,305
aa36-cl-7.edgelist,112,307
aa36-cl-8.edgelist,112,337
aa36-cl-9.edgelist,112,282
aa36-er-5.edgelist,112,312
aa36-er-6.edgelist,112,348
aa36-er-7.edgelist,112,313
aa36-er-8.edgelist,112,316
aa36-er-9.edgelist,112,349
aa36-to-5.edgelist,112,186
aa36-to-6.edgelist,112,183
aa36-to-7.edgelist,112,178
aa36-to-8.edgelist,112,176
aa36-to-9.edgelist,112,192
aa37-ba-5.edgelist,73,210
aa37-ba-6.edgelist,73,210
aa37-ba-7.edgelist,73,210
aa37-ba-8.edgelist,73,210
aa37-ba-9.edgelist,73,210
aa37-cl-5.edgelist,73,160
aa37-cl-6.edgelist,73,170
aa37-cl-7.edgelist,73,156
aa37-cl-8.edgelist,73,159
aa37-cl-9.edgelist,73,161
aa37-er-5.edgelist,73,167
aa37-er-6.edgelist,73,182
aa37-er-7.edgelist,73,190
aa37-er-8.edgelist,73,157
aa37-er-9.edgelist,73,197
aa37-to-5.edgelist,73,98
aa37-to-6.edgelist,73,103
aa37-to-7.edgelist,73,111
aa37-to-8.edgelist,73,88
aa37-to-9.edgelist,73,129
aa38-ba-5.edgelist,171,990
aa38-ba-6.edgelist,171,990
aa38-ba-7.edgelist,171,990
aa38-ba-8.edgelist,171,990
aa38-ba-9.edgelist,171,990
aa38-cl-5.edgelist,171,837
aa38-cl-6.edgelist,171,863
aa38-cl-7.edgelist,171,804
aa38-cl-8.edgelist,171,836
aa38-cl-9.edgelist,171,818
aa38-er-5.edgelist,171,870
aa38-er-6.edgelist,171,889
aa38-er-7.edgelist,171,867
aa38-er-8.edgelist,171,837
aa38-er-9.edgelist,171,924
aa38-to-5.edgelist,171,554
aa38-to-6.edgelist,171,565
aa38-to-7.edgelist,171,549
aa38-to-8.edgelist,171,525
aa38-to-9.edgelist,171,581
aa39-ba-5.edgelist,145,700
aa39-ba-6.edgelist,145,700
aa39-ba-7.edgelist,145,700
aa39-ba-8.edgelist,145,700
aa39-ba-9.edgelist,145,700
aa39-cl-5.edgelist,145,658
aa39-cl-6.edgelist,145,659
aa39-cl-7.edgelist,145,675
aa39-cl-8.edgelist,145,702
aa39-cl-9.edgelist,145,663
aa39-er-5.edgelist,145,652
aa39-er-6.edgelist,145,708
aa39-er-7.edgelist,145,695
aa39-er-8.edgelist,145,689
aa39-er-9.edgelist,145,731
aa39-to-5.edgelist,145,426
aa39-to-6.edgelist,145,452
aa39-to-7.edgelist,145,462
aa39-to-8.edgelist,145,445
aa39-to-9.edgelist,145,494
aa40-ba-5.edgelist,140,675
aa40-ba-6.edgelist,140,675
aa40-ba-7.edgelist,140,675
aa40-ba-8.edgelist,140,675
aa40-ba-9.edgelist,140,675
aa40-cl-5.edgelist,140,570
aa40-cl-6.edgelist,140,573
aa40-cl-7.edgelist,140,579
aa40-cl-8.edgelist,140,628
aa40-cl-9.edgelist,140,619
aa40-er-5.edgelist,140,599
aa40-er-6.edgelist,140,649
aa40-er-7.edgelist,140,620
aa40-er-8.edgelist,140,605
aa40-er-9.edgelist,140,665
aa40-to-5.edgelist,140,386
aa40-to-6.edgelist,140,429
aa40-to-7.edgelist,140,414
aa40-to-8.edgelist,140,371
aa40-to-9.edgelist,140,450
aa41-ba-5.edgelist,300,1764
aa41-ba-6.edgelist,300,1764
aa41-ba-7.edgelist,300,1764
aa41-ba-8.edgelist,300,1764
aa41-ba-9.edgelist,300,1764
aa41-cl-5.edgelist,300,1602
aa41-cl-6.edgelist,300,1603
aa41-cl-7.edgelist,300,1545
aa41-cl-8.edgelist,300,1590
aa41-cl-9.edgelist,300,1554
aa41-er-5.edgelist,300,1585
aa41-er-6.edgelist,300,1628
aa41-er-7.edgelist,300,1648
aa41-er-8.edgelist,300,1638
aa41-er-9.edgelist,300,1646
aa41-to-5.edgelist,300,950
aa41-to-6.edgelist,300,1032
aa41-to-7.edgelist,300,1041
aa41-to-8.edgelist,300,1029
aa41-to-9.edgelist,300,1039
aa42-ba-5.edgelist,237,1160
aa42-ba-6.edgelist,237,1160
aa42-ba-7.edgelist,237,1160
aa42-ba-8.edgelist,237,1160
aa42-ba-9.edgelist,237,1160
aa42-cl-5.edgelist,237,1092
aa42-cl-6.edgelist,237,1095
aa42-cl-7.edgelist,237,1029
aa42-cl-8.edgelist,237,1094
aa42-cl-9.edgelist,237,1080
aa42-er-5.edgelist,237,1083
aa42-er-6.edgelist,237,1157
aa42-er-7.edgelist,237,1128
aa42-er-8.edgelist,237,1135
aa42-er-9.edgelist,237,1100
aa42-to-5.edgelist,237,687
aa42-to-6.edgelist,237,739
aa42-to-7.edgelist,237,689
aa42-to-8.edgelist,237,698
aa42-to-9.edgelist,237,684
aa43-ba-5.edgelist,64,295
aa43-ba-6.edgelist,64,295
aa43-ba-7.edgelist,64,295
aa43-ba-8.edgelist,64,295
aa43-ba-9.edgelist,64,295
aa43-cl-5.edgelist,64,272
aa43-cl-6.edgelist,64,293
aa43-cl-7.edgelist,64,295
aa43-cl-8.edgelist,64,305
aa43-cl-9.edgelist,64,278
aa43-er-5.edgelist,64,338
aa43-er-6.edgelist,64,329
aa43-er-7.edgelist,64,338
aa43-er-8.edgelist,64,315
aa43-er-9.edgelist,64,316
aa43-to-5.edgelist,64,258
aa43-to-6.edgelist,64,264
aa43-to-7.edgelist,64,241
aa43-to-8.edgelist,64,237
aa43-to-9.edgelist,64,247
aa44-ba-5.edgelist,60,171
aa44-ba-6.edgelist,60,171
aa44-ba-7.edgelist,60,171
aa44-ba-8.edgelist,60,171
aa44-ba-9.edgelist,60,171
aa44-cl-5.edgelist,60,157
aa44-cl-6.edgelist,60,166
aa44-cl-7.edgelist,60,153
aa44-cl-8.edgelist,60,148
aa44-cl-9.edgelist,60,152
aa44-er-5.edgelist,60,184
aa44-er-6.edgelist,60,179
aa44-er-7.edgelist,60,179
aa44-er-8.edgelist,60,152
aa44-er-9.edgelist,60,186
aa44-to-5.edgelist,60,119
aa44-to-6.edgelist,60,114
aa44-to-7.edgelist,60,121
aa44-to-8.edgelist,60,89
aa44-to-9.edgelist,60,122
aa45-ba-5.edgelist,83,390
aa45-ba-6.edgelist,83,390
aa45-ba-7.edgelist,83,390
aa45-ba-8.edgelist,83,390
aa45-ba-9.edgelist,83,390
aa45-cl-5.edgelist,83,382
aa45-cl-6.edgelist,83,364
aa45-cl-7.edgelist,83,378
aa45-cl-8.edgelist,83,368
aa45-cl-9.edgelist,83,355
aa45-er-5.edgelist,83,375
aa45-er-6.edgelist,83,394
aa45-er-7.edgelist,83,404
aa45-er-8.edgelist,83,353
aa45-er-9.edgelist,83,408
aa45-to-5.edgelist,83,276
aa45-to-6.edgelist,83,290
aa45-to-7.edgelist,83,280
aa45-to-8.edgelist,83,260
aa45-to-9.edgelist,83,298
aa46-ba-5.edgelist,163,636
aa46-ba-6.edgelist,163,636
aa46-ba-7.edgelist,163,636
aa46-ba-8.edgelist,163,636
aa46-ba-9.edgelist,163,636
aa46-cl-5.edgelist,163,489
aa46-cl-6.edgelist,163,504
aa46-cl-7.edgelist,163,495
aa46-cl-8.edgelist,163,534
aa46-cl-9.edgelist,163,521
aa46-er-5.edgelist,163,513
aa46-er-6.edgelist,163,568
aa46-er-7.edgelist,163,530
aa46-er-8.edgelist,163,528
aa46-er-9.edgelist,163,568
aa46-to-5.edgelist,163,306
aa46-to-6.edgelist,163,337
aa46-to-7.edgelist,163,312
aa46-to-8.edgelist,163,305
aa46-to-9.edgelist,163,347
aa47-ba-5.edgelist,65,244
aa47-ba-6.edgelist,65,244
aa47-ba-7.edgelist,65,244
aa47-ba-8.edgelist,65,244
aa47-ba-9.edgelist,65,244
aa47-cl-5.edgelist,65,236
aa47-cl-6.edgelist,65,205
aa47-cl-7.edgelist,65,233
aa47-cl-8.edgelist,65,246
aa47-cl-9.edgelist,65,221
aa47-er-5.edgelist,65,248
aa47-er-6.edgelist,65,244
aa47-er-7.edgelist,65,249
aa47-er-8.edgelist,65,217
aa47-er-9.edgelist,65,254
aa47-to-5.edgelist,65,167
aa47-to-6.edgelist,65,177
aa47-to-7.edgelist,65,176
aa47-to-8.edgelist,65,146
aa47-to-9.edgelist,65,179
aa48-ba-5.edgelist,90,344
aa48-ba-6.edgelist,90,344
aa48-ba-7.edgelist,90,344
aa48-ba-8.edgelist,90,344
aa48-ba-9.edgelist,90,344
aa48-cl-5.edgelist,90,344
aa48-cl-6.edgelist,90,313
aa48-cl-7.edgelist,90,315
aa48-cl-8.edgelist,90,362
aa48-cl-9.edgelist,90,322
aa48-er-5.edgelist,90,331
aa48-er-6.edgelist,90,352
aa48-er-7.edgelist,90,347
aa48-er-8.edgelist,90,326
aa48-er-9.edgelist,90,379
aa48-to-5.edgelist,90,238
aa48-to-6.edgelist,90,241
aa48-to-7.edgelist,90,229
aa48-to-8.edgelist,90,195
aa48-to-9.edgelist,90,263
aa49-ba-5.edgelist,27,72
aa49-ba-6.edgelist,27,72
aa49-ba-7.edgelist,27,72
aa49-ba-8.edgelist,27,72
aa49-ba-9.edgelist,27,72
aa49-cl-5.edgelist,27,57
aa49-cl-6.edgelist,27,56
aa49-cl-7.edgelist,27,54
aa49-cl-8.edgelist,27,60
aa49-cl-9.edgelist,27,58
aa49-er-5.edgelist,27,59
aa49-er-6.edgelist,27,71
aa49-er-7.edgelist,27,75
aa49-er-8.edgelist,27,58
aa49-er-9.edgelist,27,78
aa49-to-5.edgelist,27,42
aa49-to-6.edgelist,27,47
aa49-to-7.edgelist,27,53
aa49-to-8.edgelist,27,41
aa49-to-9.edgelist,27,59
aa50-ba-5.edgelist,113,540
aa50-ba-6.edgelist,113,540
aa50-ba-7.edgelist,113,540
aa50-ba-8.edgelist,113,540
aa50-ba-9.edgelist,113,540
aa50-cl-5.edgelist,113,424
aa50-cl-6.edgelist,113,464
aa50-cl-7.edgelist,113,449
aa50-cl-8.edgelist,113,468
aa50-cl-9.edgelist,113,463
aa50-er-5.edgelist,113,458
aa50-er-6.edgelist,113,489
aa50-er-7.edgelist,113,472
aa50-er-8.edgelist,113,454
aa50-er-9.edgelist,113,525
